id,name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,is_legendary,is_mythical,dex_number,tier,abilities,types,is_fully_evolved,has_recovery,has_setup,has_priority,has_pivot,has_hazards,has_status,total_moves,coverage_types,avg_power
48,venonat,bug,poison,60,55,50,40,55,45,False,False,48,LC,"Compound Eyes, Tinted Lens, Run Away","Bug, Poison",False,True,True,False,False,True,True,47,7,70.8
49,venomoth,bug,poison,70,65,60,90,75,90,False,False,49,ZUBL,"Shield Dust, Tinted Lens, Wonder Skin","Bug, Poison",True,True,True,False,False,True,True,51,8,75.97
50,diglett,ground,,10,55,25,35,45,95,False,False,50,NFE,"Sand Veil, Arena Trap, Sand Force",Ground,False,True,True,True,False,True,False,50,7,69.83
51,dugtrio,ground,,35,100,50,50,70,120,False,False,51,ZU,"Sand Veil, Arena Trap, Sand Force",Ground,True,True,True,True,False,True,False,49,7,76.25
52,meowth,normal,,40,45,35,40,40,90,False,False,52,LC,"Pickup, Technician, Unnerve",Normal,False,True,True,False,False,False,True,62,13,69.68
53,persian,normal,,65,70,60,65,65,115,False,False,53,ZU,"Limber, Technician, Unnerve",Normal,True,True,True,False,False,False,True,62,14,72.26
54,psyduck,water,,50,52,48,65,50,55,False,False,54,LC,"Damp, Cloud Nine, Swift Swim",Water,False,True,True,True,True,False,False,69,10,71.58
55,golduck,water,,80,82,78,95,80,85,False,False,55,ZU,"Damp, Cloud Nine, Swift Swim",Water,True,True,True,True,True,False,False,71,10,76.66
56,mankey,fighting,,40,80,35,35,45,70,False,False,56,LC,"Vital Spirit, Anger Point, Defiant",Fighting,False,True,True,False,False,False,False,67,13,82.08
57,primeape,fighting,,65,105,60,60,70,95,False,False,57,ZU,"Vital Spirit, Anger Point, Defiant",Fighting,False,True,True,True,False,True,False,70,13,84.16
58,growlithe,fire,,55,70,45,70,50,60,False,False,58,LC,"Intimidate, Flash Fire, Justified",Fire,False,True,True,False,False,False,False,48,9,80.0
59,arcanine,fire,,90,110,80,100,80,95,False,False,59,NU,"Intimidate, Flash Fire, Justified",Fire,True,True,True,True,False,False,False,54,12,83.55
60,poliwag,water,,40,50,40,40,40,90,False,False,60,LC,"Water Absorb, Damp, Swift Swim",Water,False,True,True,False,False,False,False,43,7,74.81
61,poliwhirl,water,,65,65,65,50,50,90,False,False,61,NFE,"Water Absorb, Damp, Swift Swim",Water,False,True,True,False,False,False,False,50,7,75.32
62,poliwrath,water,fighting,90,95,95,70,90,70,False,False,62,ZU,"Water Absorb, Damp, Swift Swim","Water, Fighting",True,True,True,True,False,False,False,71,9,79.78
69,bellsprout,grass,poison,50,75,35,70,30,40,False,False,69,LC,"Chlorophyll, Gluttony","Grass, Poison",False,True,True,True,False,False,True,53,5,68.83
70,weepinbell,grass,poison,65,90,50,85,45,55,False,False,70,NFE,"Chlorophyll, Gluttony","Grass, Poison",False,True,True,True,False,False,True,56,5,68.79
71,victreebel,grass,poison,80,105,65,100,70,70,False,False,71,ZU,"Chlorophyll, Gluttony","Grass, Poison",True,True,True,True,False,False,True,57,5,76.52
72,tentacool,water,poison,40,40,35,50,100,70,False,False,72,LC,"Clear Body, Liquid Ooze, Rain Dish","Water, Poison",False,True,True,False,True,True,True,53,11,67.29
73,tentacruel,water,poison,80,70,65,80,120,100,False,False,73,NU,"Clear Body, Liquid Ooze, Rain Dish","Water, Poison",True,True,True,False,True,True,True,59,11,71.15
74,geodude,rock,ground,40,80,100,30,30,20,False,False,74,LC,"Rock Head, Sturdy, Sand Veil","Rock, Ground",False,True,True,False,False,True,False,48,8,83.28
75,graveler,rock,ground,55,95,115,45,45,35,False,False,75,NFE,"Rock Head, Sturdy, Sand Veil","Rock, Ground",False,True,True,False,False,True,False,53,8,84.22
76,golem,rock,ground,80,120,130,55,65,45,False,False,76,ZU,"Rock Head, Sturdy, Sand Veil","Rock, Ground",True,True,True,False,False,True,False,55,8,89.85
79,slowpoke,water,psychic,90,65,65,40,40,15,False,False,79,LC,"Oblivious, Own Tempo, Regenerator","Water, Psychic",False,True,True,False,False,False,True,65,10,73.78
80,slowbro,water,psychic,95,75,110,100,80,30,False,False,80,RU,"Oblivious, Own Tempo, Regenerator","Water, Psychic",True,True,True,False,False,False,True,78,10,80.53
81,magnemite,electric,steel,25,35,70,95,55,45,False,False,81,LC,"Magnet Pull, Sturdy, Analytic","Electric, Steel",False,True,True,False,True,False,True,44,3,87.37
82,magneton,electric,steel,50,60,95,120,70,70,False,False,82,ZU,"Magnet Pull, Sturdy, Analytic","Electric, Steel",False,True,True,False,True,False,True,45,3,82.0
84,doduo,normal,flying,35,85,45,35,35,75,False,False,84,LC,"Run Away, Early Bird, Tangled Feet","Normal, Flying",False,True,True,True,False,False,False,41,5,71.82
85,dodrio,normal,flying,60,110,70,60,60,110,False,False,85,ZU,"Run Away, Early Bird, Tangled Feet","Normal, Flying",True,True,True,True,False,False,False,51,7,76.83
86,seel,water,,65,45,55,45,70,45,False,False,86,LC,"Thick Fat, Hydration, Ice Body",Water,False,True,True,True,True,False,False,57,8,68.53
87,dewgong,water,ice,90,70,80,70,95,70,False,False,87,ZU,"Thick Fat, Hydration, Ice Body","Water, Ice",True,True,True,True,True,False,False,65,9,73.75
88,grimer,poison,,80,80,50,40,50,25,False,False,88,LC,"Stench, Sticky Hold, Poison Touch",Poison,False,True,True,True,False,False,True,62,12,77.19
89,muk,poison,,105,105,75,65,100,50,False,False,89,ZU,"Stench, Sticky Hold, Poison Touch",Poison,True,True,True,False,False,True,True,68,13,84.38
90,shellder,water,,30,65,100,45,25,40,False,False,90,NFE,"Shell Armor, Skill Link, Overcoat",Water,False,True,True,True,False,True,False,42,5,65.4
91,cloyster,water,ice,50,95,180,85,45,70,False,False,91,NUBL,"Shell Armor, Skill Link, Overcoat","Water, Ice",True,True,True,True,False,True,False,49,7,72.5
92,gastly,ghost,poison,30,35,30,100,35,80,False,False,92,NFE,Levitate,"Ghost, Poison",False,True,True,True,False,False,True,60,11,74.22
93,haunter,ghost,poison,45,50,45,115,55,95,False,False,93,NFE,Levitate,"Ghost, Poison",False,True,True,True,False,True,True,62,12,78.94
94,gengar,ghost,poison,60,65,60,130,75,110,False,False,94,RU,Cursed Body,"Ghost, Poison",True,True,True,True,False,True,True,73,12,83.66
96,drowzee,psychic,,60,48,45,43,90,42,False,False,96,LC,"Insomnia, Forewarn, Inner Focus",Psychic,False,True,True,False,False,False,True,70,10,75.47
97,hypno,psychic,,85,73,70,73,115,67,False,False,97,ZU,"Insomnia, Forewarn, Inner Focus",Psychic,True,True,True,False,False,False,True,73,10,79.71
100,voltorb,electric,,40,30,50,55,55,100,False,False,100,LC,"Soundproof, Static, Aftermath",Electric,False,True,True,False,True,False,True,39,6,79.17
101,electrode,electric,,60,50,70,80,80,150,False,False,101,ZU,"Soundproof, Static, Aftermath",Electric,True,True,True,False,True,False,True,44,6,86.9
102,exeggcute,grass,psychic,60,40,80,60,45,40,False,False,102,LC,"Chlorophyll, Harvest","Grass, Psychic",False,True,True,False,False,False,True,50,6,70.65
103,exeggutor,grass,psychic,95,95,85,125,75,55,False,False,103,ZU,"Chlorophyll, Harvest","Grass, Psychic",True,True,True,False,False,False,False,60,7,80.0
106,hitmonlee,fighting,,50,120,53,35,110,87,False,False,106,PU,"Limber, Reckless, Unburden",Fighting,True,True,True,True,False,False,False,59,9,76.22
107,hitmonchan,fighting,,50,105,79,35,110,76,False,False,107,ZU,"Keen Eye, Iron Fist, Inner Focus",Fighting,True,True,True,True,False,False,False,62,11,76.22
109,koffing,poison,,40,65,95,60,45,35,False,False,109,LC,"Levitate, Neutralizing Gas, Stench",Poison,False,True,True,False,False,True,True,47,8,84.79
110,weezing,poison,,65,90,120,85,70,60,False,False,110,ZU,"Levitate, Neutralizing Gas, Stench",Poison,True,True,True,False,False,True,True,48,8,88.04
111,rhyhorn,ground,rock,80,85,95,30,30,25,False,False,111,LC,"Lightning Rod, Rock Head, Reckless","Ground, Rock",False,True,True,False,False,True,False,63,12,78.66
112,rhydon,ground,rock,105,130,120,45,45,40,False,False,112,PU,"Lightning Rod, Rock Head, Reckless","Ground, Rock",False,True,True,False,False,True,False,83,14,84.65
113,chansey,normal,,250,5,5,35,105,50,False,False,113,NU,"Natural Cure, Serene Grace, Healer",Normal,False,True,True,False,False,True,True,75,13,80.83
116,horsea,water,,30,40,70,70,25,60,False,False,116,LC,"Swift Swim, Sniper, Damp",Water,False,True,True,False,True,False,False,40,6,69.42
117,seadra,water,,55,65,95,95,45,85,False,False,117,NFE,"Poison Point, Sniper, Damp",Water,False,True,True,False,True,False,False,44,6,75.18
123,scyther,bug,flying,70,110,80,55,80,105,False,False,123,NU,"Swarm, Technician, Steadfast","Bug, Flying",False,True,True,True,False,False,False,51,6,67.33
125,electabuzz,electric,,65,83,57,95,85,105,False,False,125,NFE,"Static, Vital Spirit",Electric,False,True,True,True,True,False,True,56,8,82.06
126,magmar,fire,,65,95,57,100,85,93,False,False,126,NFE,"Flame Body, Vital Spirit",Fire,False,True,True,True,False,False,False,57,8,83.11
128,tauros,normal,,75,100,95,40,70,110,False,False,128,ZU,"Intimidate, Anger Point, Sheer Force",Normal,True,True,True,False,False,False,False,56,14,86.62
129,magikarp,water,,20,10,55,15,20,80,False,False,129,LC,"Swift Swim, Rattled",Water,False,False,False,False,False,False,False,3,1,40.0
130,gyarados,water,flying,95,125,79,60,100,81,False,False,130,RUBL,"Intimidate, Moxie","Water, Flying",True,True,True,False,False,False,True,62,11,82.5
131,lapras,water,ice,130,85,80,85,95,60,False,False,131,ZU,"Water Absorb, Shell Armor, Hydration","Water, Ice",True,True,True,True,False,False,False,65,11,79.02
132,ditto,normal,,48,48,48,48,48,48,False,False,132,ZU,"Limber, Imposter",Normal,True,False,False,False,False,False,False,1,0,0.0
133,eevee,normal,,55,55,50,45,65,55,False,False,133,LC,"Run Away, Adaptability, Anticipation",Normal,False,True,True,True,False,False,False,41,8,66.94
134,vaporeon,water,,130,65,60,110,95,65,False,False,134,NU,"Water Absorb, Hydration",Water,True,True,True,True,True,False,False,55,9,75.74
135,jolteon,electric,,65,65,60,110,95,130,False,False,135,ZU,"Volt Absorb, Quick Feet",Electric,True,True,True,True,True,False,True,56,10,72.33
136,flareon,fire,,65,130,60,95,110,65,False,False,136,ZU,"Flash Fire, Guts",Fire,True,True,True,True,False,False,False,52,9,77.66
137,porygon,normal,,65,60,70,85,75,40,False,False,137,NFE,"Trace, Download, Analytic",Normal,False,True,True,False,False,False,True,45,7,84.23
143,snorlax,normal,,160,110,65,65,110,30,False,False,143,PU,"Immunity, Thick Fat, Gluttony",Normal,True,True,True,False,False,False,False,80,15,87.16
144,articuno,ice,flying,90,85,100,95,125,85,True,False,144,ZU,"Pressure, Snow Cloak","Ice, Flying",True,True,True,True,False,False,False,46,5,72.5
145,zapdos,electric,flying,90,90,85,125,90,100,True,False,145,OU,"Pressure, Static","Electric, Flying",True,True,True,False,True,False,True,49,5,82.04
146,moltres,fire,flying,90,100,90,125,85,90,True,False,146,OU,"Pressure, Flame Body","Fire, Flying",True,True,True,False,False,False,False,47,6,82.03
147,dratini,dragon,,41,64,45,50,50,50,False,False,147,LC,"Shed Skin, Marvel Scale",Dragon,False,True,True,True,False,False,True,53,7,80.86
148,dragonair,dragon,,61,84,65,70,70,70,False,False,148,NFE,"Shed Skin, Marvel Scale",Dragon,False,True,True,False,False,False,True,49,7,81.82
149,dragonite,dragon,flying,91,134,95,100,100,80,False,False,149,OU,"Inner Focus, Multiscale","Dragon, Flying",True,True,True,True,False,False,True,82,12,82.32
150,mewtwo,psychic,,106,110,90,154,90,130,True,False,150,Uber,"Pressure, Unnerve",Psychic,True,True,True,False,False,False,True,100,14,82.98
151,mew,psychic,,100,100,100,100,100,100,False,True,151,UU,Synchronize,Psychic,True,True,True,True,True,True,True,229,18,78.9
152,chikorita,grass,,45,49,65,49,65,45,False,False,152,LC,"Overgrow, Leaf Guard",Grass,False,True,True,False,False,False,False,45,4,74.47
153,bayleef,grass,,60,62,80,63,80,60,False,False,153,NFE,"Overgrow, Leaf Guard",Grass,False,True,True,False,False,False,False,47,6,74.05
154,meganium,grass,,80,82,100,83,100,80,False,False,154,ZU,"Overgrow, Leaf Guard",Grass,True,True,True,False,False,False,False,60,8,83.79
155,cyndaquil,fire,,39,52,43,60,50,65,False,False,155,LC,"Blaze, Flash Fire",Fire,False,True,True,True,False,False,False,46,10,75.61
156,quilava,fire,,58,64,58,80,65,80,False,False,156,NFE,"Blaze, Flash Fire",Fire,False,True,True,True,False,False,False,48,10,75.59
157,typhlosion,fire,,78,84,78,109,85,100,False,False,157,ZU,"Blaze, Flash Fire",Fire,True,True,True,True,False,False,False,75,13,83.11
158,totodile,water,,50,65,64,44,48,43,False,False,158,LC,"Torrent, Sheer Force",Water,False,True,True,True,True,False,False,62,12,74.51
159,croconaw,water,,65,80,80,59,63,58,False,False,159,NFE,"Torrent, Sheer Force",Water,False,True,True,True,True,False,False,64,13,74.76
160,feraligatr,water,,85,105,100,79,83,78,False,False,160,NUBL,"Torrent, Sheer Force",Water,True,True,True,True,True,False,False,80,13,79.02
161,sentret,normal,,35,46,34,35,45,20,False,False,161,LC,"Run Away, Keen Eye, Frisk",Normal,False,True,True,True,False,False,False,58,11,78.59
162,furret,normal,,85,76,64,45,55,90,False,False,162,ZU,"Run Away, Keen Eye, Frisk",Normal,True,True,True,True,False,False,False,64,12,83.12
163,hoothoot,normal,flying,60,30,30,36,56,50,False,False,163,LC,"Insomnia, Keen Eye, Tinted Lens","Normal, Flying",False,True,True,False,False,False,False,56,7,71.72
164,noctowl,normal,flying,100,50,50,86,96,70,False,False,164,ZU,"Insomnia, Keen Eye, Tinted Lens","Normal, Flying",True,True,True,False,False,False,False,63,7,80.0
167,spinarak,bug,poison,40,60,40,40,40,30,False,False,167,LC,"Swarm, Insomnia, Sniper","Bug, Poison",False,True,True,True,False,True,True,52,9,65.38
168,ariados,bug,poison,70,90,70,60,70,40,False,False,168,ZU,"Swarm, Insomnia, Sniper","Bug, Poison",True,True,True,True,False,True,True,59,10,69.82
170,chinchou,water,electric,75,38,38,56,56,67,False,False,170,LC,"Volt Absorb, Illuminate, Water Absorb","Water, Electric",False,True,True,True,True,False,True,49,7,74.66
171,lanturn,water,electric,125,58,58,76,76,67,False,False,171,PU,"Volt Absorb, Illuminate, Water Absorb","Water, Electric",True,True,True,True,True,False,True,54,7,79.52
172,pichu,electric,,20,40,15,35,35,60,False,False,172,LC,"Static, Lightning Rod",Electric,False,True,True,False,True,False,True,44,7,69.17
173,cleffa,fairy,,50,25,28,45,55,15,False,False,173,LC,"Cute Charm, Magic Guard, Friend Guard",Fairy,False,True,True,False,False,False,True,57,10,72.88
174,igglybuff,normal,fairy,90,30,15,40,20,15,False,False,174,LC,"Cute Charm, Competitive, Friend Guard","Normal, Fairy",False,True,True,False,False,False,True,54,11,77.08
179,mareep,electric,,55,40,40,65,45,35,False,False,179,LC,"Static, Plus",Electric,False,True,True,False,True,False,True,40,6,72.94
180,flaaffy,electric,,70,55,55,80,60,45,False,False,180,NFE,"Static, Plus",Electric,False,True,True,False,True,False,True,47,10,76.09
181,ampharos,electric,,90,75,85,115,90,55,False,False,181,ZU,"Static, Plus",Electric,True,True,True,False,True,False,True,61,11,84.86
182,bellossom,grass,,75,80,95,90,100,50,False,False,182,ZUBL,"Chlorophyll, Healer",Grass,True,True,True,False,False,False,True,62,8,77.74
183,marill,water,fairy,70,20,50,20,50,40,False,False,183,NFE,"Thick Fat, Huge Power, Sap Sipper","Water, Fairy",False,True,True,False,False,False,False,59,10,75.13
184,azumarill,water,fairy,100,50,80,60,80,50,False,False,184,UU,"Thick Fat, Huge Power, Sap Sipper","Water, Fairy",True,True,True,False,False,False,False,62,10,79.76
185,sudowoodo,rock,,70,100,115,30,65,30,False,False,185,ZU,"Sturdy, Rock Head, Rattled",Rock,True,True,True,True,False,True,False,64,9,83.42
186,politoed,water,,90,75,75,90,100,70,False,False,186,RU,"Water Absorb, Damp, Drizzle",Water,True,True,True,False,False,False,False,57,8,81.39
187,hoppip,grass,flying,35,35,40,35,55,50,False,False,187,LC,"Chlorophyll, Leaf Guard, Infiltrator","Grass, Flying",False,True,True,False,False,False,True,54,6,69.09
188,skiploom,grass,flying,55,45,50,45,65,80,False,False,188,NFE,"Chlorophyll, Leaf Guard, Infiltrator","Grass, Flying",False,True,True,False,False,False,True,49,6,69.09
189,jumpluff,grass,flying,75,55,70,55,95,110,False,False,189,ZU,"Chlorophyll, Leaf Guard, Infiltrator","Grass, Flying",True,True,True,False,False,False,True,52,6,75.83
190,aipom,normal,,55,70,55,40,55,85,False,False,190,NFE,"Run Away, Pickup, Skill Link",Normal,False,True,True,True,False,False,True,67,14,73.45
191,sunkern,grass,,30,30,30,30,30,30,False,False,191,LC,"Chlorophyll, Solar Power, Early Bird",Grass,False,True,True,False,False,False,False,37,3,68.53
192,sunflora,grass,,75,75,55,105,85,30,False,False,192,ZU,"Chlorophyll, Solar Power, Early Bird",Grass,True,True,True,False,False,False,False,44,5,77.6
193,yanma,bug,flying,65,65,45,75,45,95,False,False,193,NFE,"Speed Boost, Compound Eyes, Frisk","Bug, Flying",False,True,True,True,False,False,False,42,9,69.04
194,wooper,water,ground,55,45,45,25,25,15,False,False,194,LC,"Damp, Water Absorb, Unaware","Water, Ground",False,True,True,False,False,True,True,59,8,73.82
195,quagsire,water,ground,95,85,85,65,65,35,False,False,195,RU,"Damp, Water Absorb, Unaware","Water, Ground",True,True,True,False,False,True,True,64,9,82.14
196,espeon,psychic,,65,65,60,130,95,110,False,False,196,NU,"Synchronize, Magic Bounce",Psychic,True,True,True,True,False,False,True,64,8,77.19
197,umbreon,dark,,95,65,110,60,130,65,False,False,197,RU,"Synchronize, Inner Focus",Dark,True,True,True,True,False,False,True,60,7,76.79
198,murkrow,dark,flying,60,85,42,85,42,91,False,False,198,NFE,"Insomnia, Super Luck, Prankster","Dark, Flying",False,True,True,True,False,False,True,58,7,78.18
199,slowking,water,psychic,95,75,80,100,110,30,False,False,199,UU,"Oblivious, Own Tempo, Regenerator","Water, Psychic",True,True,True,False,False,False,True,83,12,79.8
200,misdreavus,ghost,,60,60,60,85,85,85,False,False,200,NFE,Levitate,Ghost,False,True,True,True,False,False,True,68,10,76.62
203,girafarig,normal,psychic,70,80,65,90,65,85,False,False,203,NFE,"Inner Focus, Early Bird, Sap Sipper","Normal, Psychic",False,True,True,False,False,False,True,75,9,75.62
204,pineco,bug,,50,65,90,35,35,15,False,False,204,LC,"Sturdy, Overcoat",Bug,False,True,True,False,False,True,False,52,10,71.55
205,forretress,bug,steel,75,90,140,60,60,40,False,False,205,RU,"Sturdy, Overcoat","Bug, Steel",True,True,True,False,True,True,True,65,11,82.0
206,dunsparce,normal,,100,70,70,65,65,45,False,False,206,NFE,"Serene Grace, Run Away, Rattled",Normal,False,True,True,False,False,True,True,80,16,79.71
207,gligar,ground,flying,65,75,105,35,65,85,False,False,207,NU,"Hyper Cutter, Sand Veil, Immunity","Ground, Flying",False,True,True,True,False,True,True,70,15,66.38
209,snubbull,fairy,,60,80,50,40,40,30,False,False,209,LC,"Intimidate, Run Away, Rattled",Fairy,False,True,True,False,False,False,True,75,13,80.76
210,granbull,fairy,,90,120,75,60,60,45,False,False,210,ZU,"Intimidate, Quick Feet, Rattled",Fairy,True,True,True,False,False,False,True,83,15,84.35
211,qwilfish,water,poison,65,95,85,55,55,85,False,False,211,PU,"Poison Point, Swift Swim, Intimidate","Water, Poison",True,True,True,True,True,True,True,68,11,68.0
212,scizor,bug,steel,70,130,100,55,80,65,False,False,212,UU,"Swarm, Technician, Light Metal","Bug, Steel",True,True,True,True,False,False,False,57,7,69.85
214,heracross,bug,fighting,80,125,75,40,95,85,False,False,214,PU,"Swarm, Guts, Moxie","Bug, Fighting",True,True,True,True,False,True,False,68,10,72.44
215,sneasel,dark,ice,55,95,55,35,75,115,False,False,215,NFE,"Inner Focus, Keen Eye, Pickpocket","Dark, Ice",False,True,True,True,False,False,False,68,11,66.7
216,teddiursa,normal,,60,80,50,50,50,40,False,False,216,LC,"Pickup, Quick Feet, Honey Gather",Normal,False,True,True,False,False,False,False,62,15,73.2
217,ursaring,normal,,90,130,75,75,75,55,False,False,217,NFE,"Guts, Quick Feet, Unnerve",Normal,False,True,True,False,False,False,False,64,14,78.82
218,slugma,fire,,40,40,40,70,40,20,False,False,218,LC,"Magma Armor, Flame Body, Weak Armor",Fire,False,True,True,False,False,True,False,54,5,70.97
219,magcargo,fire,rock,60,50,120,90,80,30,False,False,219,ZU,"Magma Armor, Flame Body, Weak Armor","Fire, Rock",True,True,True,False,False,True,False,63,7,76.18
220,swinub,ice,ground,50,50,40,30,30,50,False,False,220,LC,"Oblivious, Snow Cloak, Thick Fat","Ice, Ground",False,True,True,True,False,True,False,49,7,68.28
221,piloswine,ice,ground,100,100,80,60,60,50,False,False,221,NFE,"Oblivious, Snow Cloak, Thick Fat","Ice, Ground",False,True,True,True,False,True,False,53,7,75.15
225,delibird,ice,flying,45,55,45,65,45,75,False,False,225,ZU,"Vital Spirit, Hustle, Insomnia","Ice, Flying",True,True,True,True,False,True,False,62,9,73.97
227,skarmory,steel,flying,65,80,140,40,70,70,False,False,227,UU,"Keen Eye, Sturdy, Weak Armor","Steel, Flying",True,True,True,False,False,True,False,57,8,75.71
228,houndour,dark,fire,45,60,30,80,50,65,False,False,228,LC,"Early Bird, Flash Fire, Unnerve","Dark, Fire",False,True,True,True,False,False,True,59,10,75.29
229,houndoom,dark,fire,75,90,50,110,80,95,False,False,229,ZU,"Early Bird, Flash Fire, Unnerve","Dark, Fire",True,True,True,False,False,False,True,59,10,80.97
230,kingdra,water,dragon,75,95,95,95,95,85,False,False,230,ZUBL,"Swift Swim, Sniper, Damp","Water, Dragon",True,True,True,False,True,False,False,53,7,79.44
231,phanpy,ground,,90,60,60,40,40,40,False,False,231,LC,"Pickup, Sand Veil",Ground,False,True,True,True,False,True,False,54,10,75.78
232,donphan,ground,,90,120,120,60,60,50,False,False,232,UU,"Sturdy, Sand Veil",Ground,True,True,True,False,False,True,False,61,12,75.5
233,porygon2,normal,,85,80,90,105,95,60,False,False,233,PU,"Trace, Download, Analytic",Normal,False,True,True,False,False,False,True,46,7,84.23
234,stantler,normal,,73,95,62,85,65,85,False,False,234,NFE,"Intimidate, Frisk, Sap Sipper",Normal,False,True,True,False,False,False,True,67,9,80.92
235,smeargle,normal,,55,20,35,20,45,75,False,False,235,ZU,"Own Tempo, Technician, Moody",Normal,True,False,False,False,False,False,False,1,0,0.0
236,tyrogue,fighting,,35,35,35,35,35,35,False,False,236,LC,"Guts, Steadfast, Vital Spirit",Fighting,False,True,True,True,False,False,False,32,6,64.25
237,hitmontop,fighting,,50,95,95,35,110,70,False,False,237,ZU,"Intimidate, Technician, Steadfast",Fighting,True,True,True,True,False,False,False,55,8,70.15
239,elekid,electric,,45,63,37,65,55,95,False,False,239,LC,"Static, Vital Spirit",Electric,False,True,True,True,True,False,True,51,8,78.23
240,magby,fire,,45,75,37,70,55,83,False,False,240,NFE,"Flame Body, Vital Spirit",Fire,False,True,True,True,False,False,False,46,7,78.83
242,blissey,normal,,255,10,10,75,135,55,False,False,242,RU,"Natural Cure, Serene Grace, Healer",Normal,True,True,True,False,False,True,True,80,13,81.89
243,raikou,electric,,90,85,75,115,100,115,True,False,243,NU,"Pressure, Inner Focus",Electric,True,True,True,True,True,False,True,54,9,78.59
244,entei,fire,,115,115,85,90,75,100,True,False,244,RU,"Pressure, Inner Focus",Fire,True,True,True,True,False,False,False,53,10,83.19
245,suicune,water,,100,75,115,90,115,85,True,False,245,RU,"Pressure, Inner Focus",Water,True,True,True,True,False,False,False,49,9,75.78
246,larvitar,rock,ground,50,64,50,45,50,41,False,False,246,LC,"Guts, Sand Veil","Rock, Ground",False,True,True,False,False,True,False,51,7,75.78
